Country,District,sumTested,sumPositive,ratioPositive,,Nation,,,p94st,State -1,2,3,4,5,6,7,8,9,Market -10,DK,,p13st,Democracy,DoesntMatter,Authoritarian,NA,DK,,p89n.a,DK,Less,Same,More,,p67st,1-Unable,2,3,4,5,6,7,8,9,10-Able,DK,NA,None,,p72st.a,Yes,No,NA,DK,,p64wvsst,1-Never,2,3,4,5,6,7,8,9,10-Always,DK,NA,,s19j,No,Yes,NA,,s19l,No,Yes,NA,,s19n,No,Yes,NA,,,,s11,Asian,Black,DK,Indigenous,Mestizo,Mulato,NA,Other,White,,s26,Very Good,Good,OK,Bad,Very Bad,,s6,DK,NA,No Religion/NA,NotDevoteAtAll,NotVeryDevote,Devote,VeryDevote,,rel,pw,dem,,s15Ed,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,TechInc,TechCompOrUniIncomp,UniComp,,26stf,Completely guaranteed,Fairly guaranteed,A Little guaranteed,Not guaranteed at all,Dontknow/No answer
Argentina,ArgentinaBuenosAires,2122,160,0.075400566,,1,,,ArgentinaBuenosAires,238,35,57,67,89,22,11,13,2,7,9,,ArgentinaBuenosAires,371,69,104,1,5,,ArgentinaBuenosAires,8,241,205,96,,ArgentinaBuenosAires,32,29,64,85,108,114,72,23,7,8,4,3,1,,ArgentinaBuenosAires,216,331,0,3,,ArgentinaBuenosAires,69,6,29,15,83,31,42,49,19,157,24,26,,ArgentinaBuenosAires,52,496,2,,ArgentinaBuenosAires,104,443,3,,ArgentinaBuenosAires,3,539,8,,,,ArgentinaBuenosAires,1,3,16,7,77,0,9,14,423,,ArgentinaBuenosAires,45,299,177,22,7,,ArgentinaBuenosAires,0,6,85,154,178,109,18,,0.233455882,0.769090909,0.781052632,,ArgentinaBuenosAires,3,1,3,6,8,3,5,115,14,30,32,19,161,21,94,35,,,47,239,182,80,2
Argentina,ArgentinaCordoba,396,52,0.131313131,,1,,,ArgentinaCordoba,33,11,12,9,12,6,9,1,0,2,4,,ArgentinaCordoba,56,17,25,0,1,,ArgentinaCordoba,2,33,42,22,,ArgentinaCordoba,0,2,13,25,27,21,9,1,1,0,0,0,0,,ArgentinaCordoba,46,52,1,0,,ArgentinaCordoba,12,5,7,5,13,4,11,11,8,17,1,5,,ArgentinaCordoba,5,94,0,,ArgentinaCordoba,24,73,2,,ArgentinaCordoba,2,97,0,,,,ArgentinaCordoba,0,2,3,1,6,1,0,1,85,,ArgentinaCordoba,11,55,27,5,1,,ArgentinaCordoba,0,2,20,20,26,26,5,,0.319587629,0.858585859,0.691358025,,ArgentinaCordoba,0,0,0,3,0,1,9,16,0,7,9,5,26,3,16,4,,,27,46,20,6,0
Argentina,ArgentinaCorrientes,320,5,0.015625,,1,,,ArgentinaCorrientes,69,12,1,9,19,2,5,3,0,6,11,,ArgentinaCorrientes,84,27,18,1,7,,ArgentinaCorrientes,3,37,60,37,,ArgentinaCorrientes,8,6,6,14,51,22,18,4,3,4,1,0,0,,ArgentinaCorrientes,53,83,0,1,,ArgentinaCorrientes,25,3,7,5,40,11,10,10,4,19,2,1,,ArgentinaCorrientes,5,131,1,,ArgentinaCorrientes,18,118,1,,ArgentinaCorrientes,1,135,1,,,,ArgentinaCorrientes,1,1,23,1,19,1,2,7,82,,ArgentinaCorrientes,7,58,66,6,0,,ArgentinaCorrientes,0,1,4,12,65,43,12,,0.404411765,0.598540146,0.823529412,,ArgentinaCorrientes,3,0,3,2,1,0,3,24,3,8,5,7,36,5,28,9,,,26,47,41,20,3
Argentina,ArgentinaSantaFe,112,5,0.044642857,,1,,,ArgentinaSantaFe,22,3,2,5,8,2,1,0,0,0,0,,ArgentinaSantaFe,17,17,8,1,0,,ArgentinaSantaFe,0,8,32,3,,ArgentinaSantaFe,1,0,2,8,11,6,12,3,0,0,0,0,0,,ArgentinaSantaFe,30,13,0,0,,ArgentinaSantaFe,10,2,6,3,4,2,5,5,0,5,1,0,,ArgentinaSantaFe,0,43,0,,ArgentinaSantaFe,5,38,0,,ArgentinaSantaFe,0,43,0,,,,ArgentinaSantaFe,0,0,0,0,3,0,0,0,40,,ArgentinaSantaFe,10,25,7,1,0,,ArgentinaSantaFe,0,0,9,12,14,5,3,,0.186046512,0.930232558,0.68,,ArgentinaSantaFe,0,0,1,2,0,0,0,5,1,2,2,2,17,1,7,3,,,7,18,15,3,0
Bolivia,BoliviaChuquisaca,100,28,0.28,,2,,,BoliviaChuquisaca,11,8,10,18,9,3,1,0,0,0,15,,BoliviaChuquisaca,44,7,6,1,17,,BoliviaChuquisaca,8,22,40,5,,BoliviaChuquisaca,2,3,8,22,14,8,3,2,0,0,8,3,2,,BoliviaChuquisaca,20,52,1,2,,BoliviaChuquisaca,10,5,5,13,12,3,2,1,1,2,16,5,,BoliviaChuquisaca,12,63,0,,BoliviaChuquisaca,21,54,0,,BoliviaChuquisaca,6,69,0,,,,BoliviaChuquisaca,0,0,1,23,50,0,0,0,1,,BoliviaChuquisaca,0,15,41,19,0,,BoliviaChuquisaca,0,1,4,5,35,23,7,,0.405405405,0.013333333,0.88,,BoliviaChuquisaca,16,2,3,4,7,6,2,6,4,4,2,0,4,2,9,4,,,5,27,24,17,2
Bolivia,BoliviaCochabamba,2577,804,0.311990687,,2,,,BoliviaCochabamba,32,15,18,19,48,20,21,9,3,8,17,,BoliviaCochabamba,152,31,17,1,9,,BoliviaCochabamba,16,95,86,13,,BoliviaCochabamba,7,3,21,35,44,35,21,19,4,11,10,0,0,,BoliviaCochabamba,84,124,0,2,,BoliviaCochabamba,85,13,19,13,27,18,13,7,3,4,8,0,,BoliviaCochabamba,60,148,2,,BoliviaCochabamba,50,158,2,,BoliviaCochabamba,9,200,1,,,,BoliviaCochabamba,0,1,3,51,138,2,5,0,10,,BoliviaCochabamba,4,50,136,18,2,,BoliviaCochabamba,1,3,14,17,102,59,14,,0.354368932,0.047619048,0.899408284,,BoliviaCochabamba,23,2,11,13,13,19,9,6,12,1,4,8,39,8,21,21,,,50,80,57,17,6
Bolivia,BoliviaElBeni,846,376,0.444444444,,2,,,BoliviaElBeni,10,1,6,6,9,16,1,1,0,0,0,,BoliviaElBeni,38,10,0,2,0,,BoliviaElBeni,2,11,37,0,,BoliviaElBeni,0,2,8,10,23,4,2,0,1,0,0,0,0,,BoliviaElBeni,19,31,0,0,,BoliviaElBeni,6,11,6,2,9,11,2,2,0,1,0,0,,BoliviaElBeni,21,29,0,,BoliviaElBeni,33,17,0,,BoliviaElBeni,2,48,0,,,,BoliviaElBeni,0,0,3,2,39,1,0,0,5,,BoliviaElBeni,0,8,35,7,0,,BoliviaElBeni,2,2,4,4,16,15,7,,0.47826087,0.1,1,,BoliviaElBeni,3,0,0,1,2,2,2,5,5,2,0,1,17,2,4,4,,,5,28,16,1,0
Bolivia,BoliviaLaPaz,6435,810,0.125874126,,2,,,BoliviaLaPaz,22,20,33,47,77,54,24,15,5,2,36,,BoliviaLaPaz,235,45,41,1,13,,BoliviaLaPaz,15,97,200,23,,BoliviaLaPaz,3,3,20,50,115,47,37,24,7,8,15,2,4,,BoliviaLaPaz,120,213,0,2,,BoliviaLaPaz,42,32,24,16,69,29,40,17,5,3,48,10,,BoliviaLaPaz,71,257,7,,BoliviaLaPaz,103,224,8,,BoliviaLaPaz,25,303,7,,,,BoliviaLaPaz,0,0,7,192,121,3,1,4,7,,BoliviaLaPaz,15,59,170,80,11,,BoliviaLaPaz,2,6,23,11,146,120,27,,0.449541284,0.020895522,0.851449275,,BoliviaLaPaz,39,13,12,15,13,19,17,16,34,6,10,16,62,12,30,21,,,40,159,97,32,7
Bolivia,BoliviaSantaCruz,1004,606,0.603585657,,2,,,BoliviaSantaCruz,47,28,47,40,56,41,17,11,5,2,16,,BoliviaSantaCruz,210,28,26,12,34,,BoliviaSantaCruz,3,99,187,21,,BoliviaSantaCruz,11,12,29,54,82,46,28,15,16,12,3,1,1,,BoliviaSantaCruz,105,198,1,6,,BoliviaSantaCruz,39,24,47,30,66,26,21,12,4,6,23,12,,BoliviaSantaCruz,51,258,1,,BoliviaSantaCruz,221,87,2,,BoliviaSantaCruz,8,301,1,,,,BoliviaSantaCruz,0,4,21,26,231,0,14,3,11,,BoliviaSantaCruz,9,83,168,46,4,,BoliviaSantaCruz,9,2,20,11,136,91,41,,0.441471572,0.035483871,0.889830508,,BoliviaSantaCruz,18,0,15,13,14,26,22,17,26,6,13,21,58,8,31,22,,,41,111,110,41,7
Chile,ChileAraucania,335,20,0.059701493,,3,,,ChileAraucania,6,7,6,5,4,2,1,0,0,0,5,,ChileAraucania,12,14,3,0,7,,ChileAraucania,0,14,20,2,,ChileAraucania,0,0,0,2,6,5,8,3,0,1,10,1,0,,ChileAraucania,7,29,0,0,,ChileAraucania,3,5,4,6,2,1,4,2,0,0,8,1,,ChileAraucania,3,33,0,,ChileAraucania,0,36,0,,ChileAraucania,0,36,0,,,,ChileAraucania,0,0,0,1,4,0,1,0,30,,ChileAraucania,0,11,21,4,0,,ChileAraucania,0,1,4,1,15,15,0,,0.428571429,0.833333333,0.8,,ChileAraucania,1,0,0,0,0,0,0,1,1,1,4,4,15,2,2,5,,,2,20,10,2,2
Chile,ChileLosLagos,666,228,0.342342342,,3,,,ChileLosLagos,2,0,6,4,8,1,4,1,0,1,3,,ChileLosLagos,18,8,4,0,0,,ChileLosLagos,0,21,9,0,,ChileLosLagos,0,1,2,6,4,3,8,5,0,1,0,0,0,,ChileLosLagos,9,20,0,1,,ChileLosLagos,3,1,2,4,4,4,1,3,2,2,3,1,,ChileLosLagos,0,30,0,,ChileLosLagos,0,30,0,,ChileLosLagos,0,30,0,,,,ChileLosLagos,0,0,3,2,3,0,5,1,16,,ChileLosLagos,2,16,10,2,0,,ChileLosLagos,0,0,4,1,9,11,5,,0.533333333,0.533333333,0.818181818,,ChileLosLagos,0,0,0,0,0,0,3,0,3,2,1,0,11,0,5,5,,,6,13,6,4,1
