Nation,Trichuris,District,sumTestedTtric,sumPositiveTric,ratioPositiveTtric,,Ascaris,District,sumTestedAlub,sumPositiveAlub,ratioPositiveAlub
1,,ArgentinaBuenosAires,2122,61,0.028746466,,,ArgentinaBuenosAires,2122,160,0.075400566
1,,ArgentinaCordoba,396,8,0.02020202,,,ArgentinaCordoba,396,52,0.131313131
1,,ArgentinaCorrientes,320,6,0.01875,,,ArgentinaCorrientes,320,5,0.015625
1,,ArgentinaSantaFe,112,2,0.017857143,,,ArgentinaSantaFe,112,5,0.044642857
2,,BoliviaChuquisaca,100,5,0.05,,,BoliviaChuquisaca,100,28,0.28
2,,BoliviaCochabamba,2577,193,0.074893287,,,BoliviaCochabamba,2577,804,0.311990687
2,,BoliviaElBeni,846,246,0.290780142,,,BoliviaElBeni,846,376,0.444444444
2,,BoliviaLaPaz,6381,454,0.071148723,,,BoliviaLaPaz,6435,810,0.125874126
2,,BoliviaSantaCruz,1004,363,0.361553785,,,BoliviaSantaCruz,1004,606,0.603585657
3,,Chile,335,34,0.101492537,,,ChileAraucania,335,20,0.059701493
3,,ChileLosLagos,697,149,0.213773314,,,ChileLosLagos,666,228,0.342342342
3,,ChileLosRíos,2357,359,0.152312261,,,ChileLosRios,2357,312,0.132371659
3,,ChileMaule,68142,2008,0.029467876,,,ChileMaule,68142,2460,0.036101083
4,,ColombiaAntioquia,2513,573,0.228014326,,,ColombiaAntioquia,2513,421,0.16752885
4,,ColombiaBolivar,346,185,0.534682081,,,ColombiaBolivar,499,199,0.398797595
4,,ColombiaCauca,163,15,0.09202454,,,ColombiaCauca,163,43,0.263803681
4,,ColombiaCordoba,172,30,0.174418605,,,ColombiaCordoba,172,74,0.430232558
4,,ColombiaCundinamarca,198,69,0.348484848,,,ColombiaCundinamarca,246,73,0.296747967
4,,ColombiaMagdalena,130,10,0.076923077,,,ColombiaMagdalena,130,10,0.076923077
4,,ColombiaNarino,211,55,0.260663507,,,ColombiaNarino,211,60,0.28436019
4,,ColombiaQuindio,328,7,0.021341463,,,ColombiaQuindio,627,13,0.020733652
4,,ColombiaSantander,250,11,0.044,,,ColombiaSantander,250,20,0.08
4,,ColombiaSucre,NA,NA,NA,,,ColombiaSucre,100,4,0.04
4,,ColombiaValledelCauca,1016,264,0.25984252,,,ColombiaValledelCauca,1016,165,0.162401575
5,,EcuadorChimborazo,NA,NA,NA,,,EcuadorChimborazo,201,70,0.348258706
5,,EcuadorEsmeraldas,2585,1911,0.73926499,,,EcuadorEsmeraldas,2585,1487,0.575241779
5,,EcuadorImbabura,130,29,0.223076923,,,EcuadorImbabura,190,66,0.347368421
5,,EcuadorManabi,141,15,0.106382979,,,EcuadorManabi,141,89,0.631205674
5,,EcuadorOrellana,1052,98,0.093155894,,,EcuadorOrellana,1052,354,0.336501901
5,,EcuadorPichincha,4049,1885,0.465547049,,,EcuadorPichincha,4049,2160,0.533465053
5,,EcuadorSucumbios,NA,NA,NA,,,EcuadorSucumbios,74,11,0.148648649
6,,ParaguayCentraldepartment,NA,NA,NA,,,ParaguayCentraldepartment,192,16,0.083333333
7,,PeruAyacucho,312,4,0.012820513,,,PeruAyacucho,312,14,0.044871795
7,,PeruCajamarca,732,46,0.06284153,,,PeruCajamarca,732,109,0.148907104
7,,PeruLambayeque,NA,NA,NA,,,PeruLambayeque,182,6,0.032967033
7,,PeruLima,303,5,0.01650165,,,PeruLima,303,4,0.01320132
7,,PeruLoreto,3161,1319,0.417273015,,,PeruLoreto,3161,1490,0.47136982
7,,Perupuno,91,1,0.010989011,,,PeruPuno,91,2,0.021978022
8,,VenezuelaAnzoátegui,5074,2032,0.400473,,,VenezuelaAnzoátegui,5074,1720,0.338983051
8,,VenezuelaAragua,5632,1223,0.217151989,,,VenezuelaAragua,5632,1002,0.177911932
8,,VenezuelaBolivar,1549,633,0.408650742,,,VenezuelaBolivar,1549,282,0.182052937
8,,VenezuelaCarabobo,5701,2695,0.472724083,,,VenezuelaCarabobo,5701,1874,0.328714261
8,,VenezuelaLara,5063,1206,0.238198696,,,VenezuelaLara,5063,965,0.190598459
8,,VenezuelaMérida,5413,1567,0.289488269,,,VenezuelaMérida,5413,1624,0.300018474
8,,VenezuelaMiranda,8360,2338,0.279665072,,,VenezuelaMiranda,8440,2448,0.290047393
8,,VenezuelaMonagas,5483,2336,0.426044136,,,VenezuelaMonagas,5483,1086,0.198066752
8,,VenezuelaPortuguesa,3519,913,0.259448707,,,VenezuelaPortuguesa,3519,770,0.218812163
8,,VenezuelaSucre,7361,4276,0.580899334,,,VenezuelaSucre,7361,3943,0.535660916
8,,VenezuelaTáchira,975,331,0.339487179,,,VenezuelaTáchira,975,231,0.236923077
8,,VenezuelaVargas,1278,423,0.330985915,,,VenezuelaVargas,1278,538,0.420970266
8,,VenezuelaZulia,10128,3648,0.360189573,,,VenezuelaZulia,10128,3392,0.334913112
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
