ID,Wives,rs,Weight,Age
3126,2,5,52.02424242,71
3139,1,4,55.35986114,69
3349,1,5,54.31842918,47
3231,2,4,53.75795455,60
3240,2,4,53.05157048,59
3394,1,7,57.58822798,42
3226,1,5,59.65378788,60
3104,2,2,60.20227273,75
3371,1,4,57.04884718,45
3414,1,1,47.66159906,40
3435,2,4,58.78787879,37
3390,1,3,55.25289756,43
3176,1,1,55.5,65
3397,1,3,63.35060929,42
3216,3,3,57.47670455,61
3405,1,3,58.16972985,41
3305,1,4,54.35757576,51
3345,1,5,62.73072802,48
3307,1,2,56.20427917,51
3352,2,7,63.14848485,47
3259,1,6,59.83116883,57
3373,1,1,62.72727273,46
3302,1,1,59.61857809,52
3243,2,3,58.38396674,58
3291,1,1,60.04380165,53
3263,1,1,56.90241506,56
3438,1,1,56.81818182,37
3365,1,2,59.08363636,46
3146,3,3,59.22727273,68
3409,1,4,59.42622074,41
3150,2,2,59.85974026,68
3436,1,1,63.08585859,37
3316,2,4,64.10454253,50
3220,2,5,62.25784464,61
3392,1,3,61.46060606,43
3403,1,4,59.5797142,41
3165,2,5,56.06704545,67
3428,2,3,64.31818182,38
3265,1,5,58.72954545,56
3333,1,3,62.94181818,49
3413,1,2,65.68181818,40
3294,2,3,58.47454545,53
3398,1,2,66.47878788,42
3123,2,5,58.76454545,72
3276,1,2,66.13636364,55
3214,2,3,60.58454545,61
3287,1,2,58.7,54
3130,1,4,59.50757576,71
3354,1,4,64.59636364,47
3327,2,5,65.10681818,49
3351,1,1,58.15714286,47
3360,2,6,62.29363636,46
3196,2,4,62.36590909,63
3274,1,2,59.41007354,54
3313,2,6,74.73761424,50
3172,1,4,57.79398366,65
3215,2,3,61.74753273,61
3157,1,2,64.1265351,67
3386,1,5,58.80908497,43
3420,1,4,73.38280182,40
3322,2,6,66.55908799,50
3217,1,1,68.38824284,61
3495,1,1,44.98243808,30
3380,1,4,47.8115897,44
3480,1,2,50.35322332,32
3433,1,1,50.45454545,37
3434,1,1,50.52473727,38
3087,3,7,50.55636364,78
8024,1,1,51.51391045,30
3381,1,1,51.54035214,44
3242,1,1,52.843235,59
3497,1,1,54.14599333,30
3347,1,3,54.53333333,48
3687,1,1,55,22
3470,1,1,57.60593,32
7080,1,1,57.9960975,27
3199,3,4,58.40202576,63
3430,1,4,58.435962,38
3272,1,1,58.63636364,55
3144,3,6,59.06407903,69
7603,2,3,59.09090909,40
3574,1,1,59.34838667,27
3479,1,2,59.54545455,32
3230,3,5,59.71967338,60
3517,1,1,60,29
3458,1,1,60.05129295,34
3575,1,1,60.5,27
3094,2,5,60.57267312,76
3478,1,1,60.90909091,32
3384,1,5,60.90909091,44
3182,1,5,61.0141317,64
3492,1,1,61.17374848,31
3083,1,3,61.41158523,78
3238,1,1,61.78111686,59
3086,4,4,61.78787879,78
3553,1,1,61.91155,27
3451,1,2,62.38636364,34
3110,1,1,62.5,74
3645,1,1,63.6,23
3675,2,2,63.8,22
3820,1,2,64.09090909,45
3300,1,6,65.73037809,52
3494,1,3,65.88450205,30
3542,1,3,66.00103061,30
3166,1,1,66.012955,66
3244,3,5,66.51515152,58
7029,1,1,66.65,26
3559,1,1,66.7,27
3328,1,3,67,49
7047,2,3,67.4,27
3401,1,2,67.58522727,42
3255,1,2,67.72727273,57
3254,1,1,68.73282155,57
3326,2,3,69.06666667,49
7081,1,1,70.8,25
4311,1,1,73.18181818,34
3548,1,2,79.85527167,27
