MaleID,BabyMammas15,SumRS15,AvgOfWeight,Age
530,1,3,84.2,66
49,0,0,92.5,77
461,1,5,83,76
48,1,1,91,66
97,1,3,91.5,70
235,0,0,93,53
5229,2,8,88,50
5146,1,1,89,55
501,1,2,91.5,65
43,1,5,100.5,57
317,1,6,93.81,56
5113,1,1,92,36
2071,1,1,83.25,62
129,1,3,83.51,66
5074,0,0,86,37
5148,1,1,89,55
288,1,1,93,52
285,1,5,101,45
14,1,3,90,68
329,2,3,97.66,58
256,1,4,89.16,63
7821,1,4,90,83
77,1,3,100,35
59,2,5,94,57
47,2,5,101,58
592,1,5,94,82
5874,1,3,100,42
580,1,3,103,42
399,1,4,94.4,71
494,1,4,96.33,57
405,2,3,104,71
294,1,4,99,76
114,2,2,93.5,56
570,2,3,97,48
345,1,3,103,50
604,1,1,105,36
249,1,3,109,43
173,1,2,109.37,55
191,1,2,106.5,71
551,1,5,107,60
5398,1,1,78,55
267,1,3,99.33,72
247,1,4,99.5,57
228,1,2,104,71
196,1,3,105.2,70
102,1,9,107,59
19,1,5,114,58
207,1,5,104.66,46
223,1,7,82.33,63
35,1,5,100,61
5060,1,5,99,50
404,1,3,105,36
362,1,7,124,43
500,1,4,103.5,77
523,1,4,106,63
454,2,5,109,84
123,1,5,110.75,63
5107,0,0,103,40
233,1,6,107.66,56
348,0,0,113,39
217,1,6,101.66,70
1,1,3,111,66
7876,1,6,112,50
65,1,5,117,62
5426,1,1,114,47
5023,0,0,110,57
593,2,5,111,62
446,1,5,116.5,61
560,2,8,118,67
7079,1,6,115,72
37,1,2,113.33,58
407,1,13,123.38,59
9,1,1,80,53
29,1,2,86.66,49
456,1,1,90,57
160,1,1,98,60
178,2,8,99,75
419,0,0,99.66,39
315,1,1,101,41
158,1,4,101,72
504,2,8,101,65
205,1,1,102,73
17,0,0,103,47
589,1,5,103.77,61
306,1,1,104,52
185,1,3,104.5,35
379,1,5,112,53
188,2,3,114,43
488,1,3,116,59
104,1,4,126,54
