RES_ID,rs,NUM_MAR,Age,LAND_DECIMAL,AN_INCOME
2V86005311,4,1,40,0,5000
2V41009906,8,1,40,30,8000
1V36023140,6,2,40,136.5,11000
1VB3020142,7,1,40,2,12000
1N00018806,4,1,40,25,14000
2O00010705,3,1,40,21,15000
1D93009445,2,1,40,27,15000
1V40000402,5,1,40,968,20000
1VBB007410,4,1,40,80,20000
2DX0026205,3,1,40,12,30000
2T00001812,5,1,40,3,36000
2V31037008,4,1,40,12,42000
1V49011944,5,1,40,360,44000
1P00006903,2,1,40,3,48000
1C00008806,4,1,40,6,48000
2U00082416,5,1,40,5,58000
2A00007403,2,2,40,12,60000
2V72020513,3,1,40,8,60000
2V10020304,4,1,40,15,72000
1D34012103,3,1,40,254,74000
2D90025814,5,1,40,4.5,84000
2V82018313,5,2,40,48,114000
1H00019507,3,1,40,3,120000
2VBC065307,3,1,40,0,120000
2V31015008,3,1,40,6,144000
1V90004504,1,1,40,0,300000
2V18012212,3,1,40,672,330000
1V61000940,2,1,40,0,480000
2T00005812,4,1,40,0,600000
1V45001405,5,1,41,0,18000
2V35040109,4,1,41,248,20000
1D30007802,5,1,41,0,24000
2V89018208,4,1,41,7,36000
3V59002608,2,1,41,0,60000
3D99049101,2,1,41,130,108000
1V06021507,2,1,41,0,168000
2V76011312,4,1,42,123,10000
2V49015508,3,1,42,25,14400
3V56028109,7,1,42,258,15000
3V31134308,2,1,42,0,15000
2V64046416,5,1,42,1,18000
2H00018006,4,1,42,0,18000
1V45001206,6,1,42,10,20000
1V87007406,5,1,42,15,20000
1V46003006,4,1,42,360,20000
4V33014906,8,1,42,360,22000
1V24018306,3,1,42,5,24000
1V0003870,4,1,42,15,24000
1V18025707,5,1,42,16,25000
2V95016503,8,1,42,13.5,26000
2V28000109,4,1,42,18,30000
1VB2009107,4,1,42,33,30000
1V24014105,4,1,42,48,30000
2VBC066706,5,1,42,248,38000
3V89036202,3,1,42,18,42000
2V32044606,5,1,42,0,48000
1V80009504,4,1,42,39,50000
2VBC023515,6,1,42,5,50000
1V41000506,4,1,42,1,54000
2VB6011211,5,1,42,0,54000
2DX1011612,4,1,42,120,58000
2VB6002012,3,1,42,0,60000
1H00016403,4,2,42,17,60000
1H00008006,4,1,42,3,60000
1V29003942,2,1,42,35,61600
4V19062410,7,1,42,37,70000
2V39000710,3,1,42,45,70000
4V11064202,8,2,42,0,72000
