ID,Age,Wives,WealthRatio,rs
382,20,1,0.01,1
17236,21,0,0.01,0
21899,21,0,0.01,0
22740,21,0,0.68,0
24197,21,0,0.01,0
107130,21,1,0.01,1
14905,22,0,0.01,0
17278,22,0,0.01,0
23349,22,0,6.87,0
101662,22,0,30.92,0
403962,22,1,0.343642612,0
11732,23,0,0.01,0
12895,23,0,0.01,0
16904,23,0,3.43,0
17353,23,0,0.01,0
21875,23,1,0.01,1
22168,23,0,0.01,0
24195,23,0,0.01,0
101106,23,0,1.71,0
16256,24,1,0.01,0
19438,24,0,0.01,0
20172,24,0,0.01,0
24775,24,0,0.01,0
25023,24,0,0.01,0
26779,24,0,0.01,0
101769,24,0,1.79,0
4673,25,0,1.71,0
8448,25,1,0.01,0
10447,25,1,0.01,0
10942,25,0,0.01,0
14423,25,0,0.01,0
15549,25,0,0.01,1
16060,25,0,24.05,0
16935,25,0,0.01,0
18518,25,0,0.01,0
22476,25,1,1.54,0
25902,25,1,0.01,0
29505,25,0,17.87,1
106552,25,1,0.01,0
11733,26,0,0.01,0
18061,26,0,0.01,0
18083,26,0,0.01,0
19437,26,0,0.01,0
21251,26,1,13.74,1
25710,26,2,0.58,0
28073,26,0,0.01,0
58462,26,0,203.48,0
8411,27,0,0.01,0
9586,27,1,0.01,1
11746,27,0,13.74,0
16493,27,0,95.03,0
16748,27,0,0.01,0
17545,27,0,0.01,0
17570,27,1,0.01,1
17952,27,0,1.54,0
20288,27,0,0.01,0
21248,27,1,0.01,0
24231,27,0,0.01,0
24880,27,0,0.01,0
28567,27,1,0.01,0
29648,27,0,3.43,0
38995,27,0,0.01,0
103416,27,0,2.06,0
401151,27,1,8.72,0
9569,28,0,14.53,0
14024,28,0,0.01,0
14198,28,0,0.01,0
14785,28,0,0.01,0
18851,28,0,0.01,0
21293,28,1,13.74,0
27348,28,0,0.01,0
103194,28,0,0.01,0
104680,28,1,0.01,1
400094,28,1,0.87,0
400772,28,1,1.54,0
403286,28,1,0.01,0
6458,29,1,6.87,0
7420,29,0,0.01,0
16892,29,0,0.01,0
17051,29,1,0.01,3
17423,29,1,0.34,2
22404,29,1,0.58,0
24207,29,0,4.36,0
24262,29,0,5.81,0
24268,29,1,103.09,2
24390,29,1,0.01,2
