code,wives,totalacres,cows,age,soff
335,1,1,0,23,0
633,1,4,4,21,0
721,1,6,4,22,0
988,1,30,20,44,0
1005,1,5,0,18,0
1051,1,4,6,18,0
1064,1,4,2,21,0
1102,1,3,13,20,0
1110,2,8,9,44,0
1120,1,2,1,21,0
1158,1,4,2,22,0
1173,1,4,0,22,0
2135,1,4,6,21,0
2152,1,5,8,19,0
11101,1,4,4,51,0
11102,1,4,4,74,0
11107,1,1,3,40,0
11108,1,1,2,37,0
11110,1,3,4,45,0
20003,0,1,3,27,0
20004,0,1,5,27,0
20007,0,35,0,27,0
20008,0,2,4,27,0
20009,0,2,5,27,0
20010,0,6,2,27,0
20011,0,2,2,27,0
20012,0,1,3,27,0
20013,0,1,5,27,0
20014,0,1,5,27,0
20016,0,4,2,27,0
20017,0,1,2,27,0
20019,0,3,3,27,0
20020,0,2,2,27,0
20021,0,1,4,27,0
20022,0,5,4,27,0
20023,0,4,2,27,0
40001,0,3,5,36,0
40004,0,3,3,36,0
40005,0,2,3,36,0
40006,0,3,14,36,0
40007,0,15,6,36,0
40008,0,6,3,36,0
40009,0,7,3,36,0
40010,0,3,5,36,0
40011,0,4,3,36,0
40012,0,2,4,36,0
40013,0,5,2,36,0
40014,0,2,5,36,0
40015,0,1,4,36,0
40016,0,2,2,36,0
40017,0,9,1,36,0
40018,0,4,1,36,0
40019,0,2,2,36,0
40020,0,4,3,36,0
40021,0,1,2,36,0
50001,0,4,13,44,0
50002,0,1,12,44,0
50003,0,27,3,44,0
50004,0,9,4,44,0
50005,0,1,5,44,0
50006,0,1,2,44,0
50007,0,1,4,44,0
50008,0,2,5,44,0
50009,0,3,12,44,0
50010,0,5,2,44,0
50011,0,2,4,44,0
50012,0,4,3,44,0
50013,0,3,1,44,0
50014,0,4,2,44,0
50015,0,2,4,44,0
50016,0,2,2,44,0
50017,0,2,4,44,0
50018,0,5,2,51,0
50019,0,1,1,51,0
60001,0,1,7,51,0
60002,0,2,3,51,0
60003,0,35,23,51,0
60004,0,2,20,51,0
60005,0,4,12,51,0
60006,0,2,3,51,0
60007,0,2,7,51,0
60008,0,7,6,51,0
60009,0,4,9,51,0
60010,0,9,18,51,0
60011,0,18,16,51,0
60012,0,1,13,51,0
60013,0,8,30,51,0
60014,0,4,1,51,0
60015,0,6,3,51,0
70001,0,7,2,54,0
70002,0,6,2,54,0
70003,0,8,3,54,0
70004,0,11,5,54,0
70005,0,3,6,54,0
70006,0,3,3,54,0
70007,0,5,6,54,0
70008,0,5,7,54,0
70009,0,4,4,54,0
70010,0,2,18,54,0
70011,0,10,4,54,0
80003,0,10,25,63,0
80004,0,26,3,63,0
80006,0,6,2,63,0
80009,0,5,7,63,0
228,1,10,3,25,1
237,1,4,1,22,1
243,1,5,8,21,1
353,1,14,10,31,1
427,1,2,1,24,1
718,1,3,3,29,1
722,2,15,16,45,1
725,1,2,3,27,1
726,1,8,2,22,1
750,1,7,10,30,1
919,1,5,0,27,1
963,1,28,21,28,1
1039,1,4,1,23,1
1050,1,4,6,21,1
1076,1,4,1,29,1
1148,1,2,1,24,1
1155,1,4,3,25,1
1169,1,5,6,23,1
2114,1,10,10,21,1
20001,0,2,7,27,1
20002,0,5,6,27,1
20006,0,1,9,27,1
20015,0,4,6,27,1
122,1,10,3,27,2
224,1,1,0,24,2
229,1,1,0,32,2
230,2,1,3,43,2
271,1,30,15,26,2
337,1,7,8,25,2
346,1,4,3,24,2
360,1,5,15,31,2
374,2,10,5,24,2
423,3,20,9,86,2
424,1,2,1,33,2
428,1,2,1,41,2
452,1,6,3,29,2
453,1,6,3,27,2
457,1,14,2,21,2
467,1,3,4,33,2
488,1,15,7,24,2
491,1,14,16,38,2
518,2,10,5,34,2
730,1,2,0,27,2
737,1,2,7,29,2
740,1,2,4,27,2
769,1,5,1,20,2
777,1,6,10,19,2
860,1,30,8,25,2
870,1,21,37,27,2
883,1,24,2,20,2
918,1,5,0,29,2
1022,1,3,3,23,2
1023,1,3,3,26,2
1077,1,8,3,27,2
1086,1,3,2,24,2
1087,1,3,2,20,2
1150,1,3,2,28,2
1162,1,10,5,22,2
2128,1,4,20,34,2
2141,1,3,5,25,2
20005,0,2,9,27,2
40002,0,4,5,36,2
80008,0,5,60,69,2
128,1,2,5,34,3
137,1,5,5,53,3
145,1,4,7,27,3
221,1,7,2,23,3
231,1,2,3,86,3
239,1,16,4,68,3
241,2,7,7,24,3
242,1,1,10,21,3
248,1,2,5,23,3
362,1,5,5,32,3
448,1,6,5,29,3
456,1,14,6,31,3
479,1,40,19,20,3
480,1,4,2,24,3
483,1,12,17,27,3
485,1,10,2,25,3
527,1,10,3,25,3
714,1,9,12,27,3
717,1,11,2,33,3
745,1,3,4,35,3
1001,1,4,5,35,3
1002,2,4,5,36,3
1031,1,8,3,30,3
1038,1,4,1,33,3
1056,1,8,3,30,3
1063,1,4,2,30,3
1101,1,3,4,25,3
1111,1,8,6,35,3
1114,1,3,2,22,3
1118,1,2,1,24,3
1119,1,2,1,27,3
2113,1,9,10,26,3
2151,1,5,8,25,3
2153,1,20,15,25,3
2155,1,1,0,30,3
40003,0,3,7,36,3
141,3,7,6,69,4
151,1,2,0,33,4
226,1,2,3,52,4
245,1,5,0,32,4
268,1,16,3,31,4
311,2,4,4,36,4
329,1,20,30,38,4
336,1,7,8,31,4
344,1,4,21,31,4
425,2,2,1,42,4
447,1,6,9,32,4
455,2,14,6,24,4
486,1,15,11,32,4
632,2,8,12,27,4
713,1,3,3,34,4
720,1,11,2,28,4
729,1,8,5,31,4
861,1,61,30,37,4
888,2,24,16,33,4
922,2,26,18,39,4
964,1,21,4,29,4
984,1,8,6,39,4
1003,1,8,4,41,4
1009,1,4,7,36,4
1010,1,4,7,28,4
1045,1,8,4,40,4
1078,2,8,6,46,4
1082,1,8,3,33,4
1105,1,2,2,38,4
1107,1,2,2,32,4
1130,2,8,6,30,4
1156,1,8,1,25,4
1157,1,4,2,33,4
1163,1,13,15,29,4
1171,1,8,6,31,4
2117,1,10,8,33,4
2144,1,7,15,32,4
2147,1,6,9,27,4
135,1,1,2,52,5
149,1,5,5,38,5
150,1,2,9,29,5
156,1,3,0,31,5
222,1,7,2,29,5
232,1,7,18,29,5
247,1,5,0,46,5
310,1,11,1,71,5
319,2,20,6,27,5
321,1,6,6,29,5
364,1,10,50,69,5
466,1,3,5,31,5
481,1,20,21,52,5
496,1,4,4,32,5
516,1,30,20,35,5
519,1,10,20,32,5
520,1,10,4,25,5
522,1,10,5,31,5
621,1,10,10,69,5
711,1,13,25,57,5
724,1,2,3,32,5
739,1,1,1,40,5
756,1,5,4,37,5
816,1,54,22,64,5
863,1,41,15,52,5
914,1,180,45,57,5
930,1,30,20,31,5
949,1,40,20,27,5
958,1,28,20,29,5
1007,1,8,3,32,5
1026,1,8,4,27,5
1033,1,16,0,51,5
1037,2,8,6,53,5
1062,1,8,6,39,5
1083,1,8,8,35,5
1092,1,8,8,34,5
1093,1,8,7,33,5
1106,1,2,2,35,5
1112,1,3,2,33,5
1113,1,3,2,28,5
1116,1,8,5,31,5
1139,1,8,3,32,5
1143,1,8,3,31,5
1147,1,2,1,32,5
1154,1,4,3,37,5
2130,1,8,10,31,5
2133,1,4,6,37,5
2142,1,5,10,43,5
11106,1,3,3,57,5
80001,0,7,17,63,5
80007,0,12,45,69,5
134,3,7,5,35,6
238,1,4,1,34,6
250,1,6,7,39,6
251,1,7,8,32,6
324,1,2,2,51,6
