ego_id,age,num_wives,cattle,farming_land,rs
100,22,0,0,0,0
101,23,0,0,0,0
102,72,2,3,3,7
103,18,0,0,0,0
109,18,0,0,0,0
111,18,0,0,0,0
112,28,1,1,0,2
114,19,0,0,0.15,0
117,60,1,0,1,7
118,20,0,1,0,0
119,20,0,1,0,0
122,45,1,3,0.5,7
123,18,0,0,0,0
126,37,1,2,4,6
127,39,1,6,1,7
128,25,0,0,2,0
129,35,1,0,0.25,6
130,20,0,2,0.5,0
131,20,0,0,0,0
132,19,0,0,0.5,0
134,35,1,2,0.25,6
136,18,0,0,0,0
137,27,1,0,1,1
141,18,0,0,0,0
143,19,0,0,0.5,0
144,19,0,0,0,0
145,22,0,0,0,0
146,18,0,0,0,0
149,26,1,0,0.5,3
150,46,1,0,0.4,8
153,23,0,0,0,0
154,23,0,0,0,0
155,20,0,0,0,0
157,22,1,0,0.125,0
159,18,0,1,0,0
160,37,1,3,0.5,7
162,26,1,3,0.5,7
165,18,0,0,0,0
166,35,1,5,0.5,6
167,30,1,3,0.5,6
168,59,1,0,0.4,7
201,17,0,0,4,0
204,45,1,2,7,10
205,57,1,0,0.5,10
206,60,0,0,0.25,7
207,42,2,2,1,12
208,100,1,0,1,3
209,38,2,0,1,12
212,53,1,1,2,9
216,65,1,0,1,6
224,24,0,1,1,0
225,32,1,2,1,4
226,21,0,0,0.5,0
227,50,2,4,2,9
230,35,1,0,1,6
231,50,1,2,1,6
232,21,0,0,1,0
233,28,1,4,0.6,2
234,26,0,0,0,0
235,34,1,8,1,5
236,28,0,2,1,0
237,20,0,0,0,0
240,46,1,0,0,9
242,106,1,0,1,6
243,22,0,1,0,0
244,19,0,0,0,0
245,21,0,0,0.5,0
247,22,0,0,0,0
249,30,1,5,0.5,4
252,37,1,4,4,2
253,40,1,0,0,8
300,22,0,0,3,0
305,31,1,3,1,6
307,21,0,2,1,0
308,22,0,2,6,0
309,67,0,0,1,4
310,22,0,0,0.5,0
311,25,0,2,3,0
315,20,0,9,4,0
316,18,0,4,3,0
317,70,1,2,1,12
350,35,1,4,1,4
