id,grasen,AOD,Nmarr,evermarried,Nsur15,SES
31669,0,80,2,1,2,4
115774,0,80,1,1,5,4
56859,0,78,1,1,3,4
45053,0,78,1,1,4,4
111982,0,61,1,1,4,4
108832,0,69,1,1,5,4
207,0,74,1,1,3,4
62349,0,72,2,1,3,4
102484,0,36,1,1,0,4
61835,0,61,2,1,4,4
42273,0,36,1,1,3,4
113953,0,76,1,1,3,4
59650,0,48,1,1,4,4
12375,0,69,1,1,4,4
105221,0,67,1,1,1,4
117936,0,79,1,1,6,4
57189,0,66,2,1,9,4
18503,0,65,1,1,5,4
100371,0,66,1,1,7,4
49736,0,75,1,1,2,4
37958,0,45,1,1,1,4
109474,0,79,1,1,6,4
62766,0,34,1,1,1,4
104798,0,79,2,1,0,4
16890,0,61,1,1,2,4
14975,0,82,1,1,6,4
10739,0,42,1,1,5,4
106007,0,45,1,1,5,4
16485,0,35,1,1,2,4
108799,0,67,1,1,1,4
116790,0,65,1,1,4,4
32334,0,89,3,1,4,4
117241,0,48,1,1,1,4
113109,0,53,1,1,6,4
30738,0,30,1,1,1,4
14371,0,51,1,1,2,4
54981,0,66,1,1,9,4
17762,0,72,1,1,6,4
106564,0,64,2,1,7,4
10046,0,47,2,1,4,4
20434,0,62,1,1,6,4
35525,0,42,1,1,4,4
47778,0,79,1,1,2,4
10797,0,67,2,1,5,4
103713,0,29,1,1,1,4
100848,0,73,2,1,0,4
31423,0,65,2,1,1,4
27060,0,51,2,1,7,4
100633,0,80,1,1,0,4
105521,0,51,2,1,2,4
36283,0,56,1,1,0,4
4426,0,81,1,1,1,4
9613,0,57,3,1,5,4
65499,0,48,1,1,4,4
32897,0,31,1,1,0,4
14616,0,54,1,1,4,4
21049,0,77,1,1,2,4
107821,0,80,2,1,5,4
109201,0,78,2,1,0,4
16957,0,70,1,1,6,4
108724,0,72,1,1,6,4
41464,0,55,2,1,7,4
44088,0,74,2,1,1,4
18547,0,41,1,1,4,4
110592,0,74,1,1,3,4
12764,0,55,1,1,4,4
104198,0,51,1,1,5,4
19835,0,74,1,1,2,4
104799,0,89,2,1,5,4
57542,0,39,1,1,3,4
7424,0,90,1,1,3,4
17792,0,65,1,1,1,4
43552,0,70,2,1,7,4
46504,0,80,2,1,2,4
71527,0,67,1,1,4,4
11429,0,64,2,1,2,4
100736,0,68,1,1,4,4
61350,0,74,1,1,9,4
31364,0,72,1,1,3,4
109578,0,60,1,1,2,4
108010,0,70,1,1,6,4
2012,0,72,1,1,3,4
35327,0,63,2,1,1,4
101805,0,75,1,1,3,4
3572,0,63,1,1,6,4
11105,0,60,2,1,7,4
58665,0,68,1,1,9,4
12352,0,61,1,1,3,4
30029,0,77,1,1,5,4
32771,0,64,2,1,6,4
50559,0,72,1,1,1,4
71620,0,71,1,1,2,4
427,0,70,1,1,2,4
29039,0,47,1,1,5,4
10334,0,51,3,1,7,4
106152,0,80,3,1,9,4
16993,0,62,1,1,5,4
65825,0,49,1,1,1,4
102987,0,78,1,1,4,4
7811,0,64,1,1,3,4
115504,0,66,1,1,3,4
18722,0,47,1,1,6,4
118355,0,92,1,1,7,4
100526,0,50,1,1,2,4
110369,0,74,1,1,2,4
44777,0,53,1,1,4,4
32322,0,71,1,1,3,4
113732,0,85,2,1,4,4
19409,0,51,1,1,5,4
13779,0,69,1,1,3,4
71194,0,68,1,1,3,4
104616,0,74,1,1,5,4
99644,0,62,1,1,4,4
71464,0,77,1,1,6,4
7910,0,85,1,1,6,4
13760,0,72,2,1,0,4
104476,0,89,1,1,0,4
58688,0,46,1,1,2,4
61502,0,50,1,1,2,4
51380,0,54,1,1,8,4
29625,0,50,2,1,3,4
60167,0,72,1,1,3,4
32480,0,52,1,1,6,4
44789,0,69,1,1,1,4
75504,0,59,3,1,2,4
32602,0,63,1,1,3,4
32296,0,83,1,1,2,4
44420,0,65,1,1,4,4
54270,0,72,1,1,6,4
34027,0,67,1,1,0,4
51679,0,84,1,1,3,4
11227,0,62,2,1,5,4
107604,0,77,2,1,4,4
13455,0,58,1,1,2,4
116997,0,76,1,1,4,4
12586,0,73,2,1,4,4
118025,0,68,1,1,5,4
19885,0,76,1,1,0,4
50316,0,63,1,1,7,4
26775,0,67,2,1,5,4
4728,0,60,1,1,1,4
8092,0,83,1,1,3,4
53105,0,70,1,1,3,4
37158,0,71,1,1,4,4
67871,0,62,1,1,2,4
105891,0,49,1,1,4,4
18886,0,47,1,1,1,4
106519,0,53,1,1,4,4
55610,0,61,2,1,8,4
80283,0,47,2,1,3,4
110031,0,56,1,1,1,4
9800,0,60,3,1,5,4
16917,0,45,1,1,1,4
112959,0,54,1,1,1,4
74743,0,47,1,1,0,4
42708,0,55,1,1,3,4
35580,0,43,1,1,3,4
37197,0,79,1,1,5,4
35554,0,75,2,1,0,4
36499,0,65,1,1,6,4
46131,0,79,1,1,0,4
104860,0,84,2,1,4,4
112914,0,61,1,1,8,4
47497,0,84,2,1,2,4
59753,0,66,1,1,2,4
1414,0,60,1,1,8,4
51455,0,86,2,1,6,4
58153,0,48,1,1,2,4
59321,0,40,1,1,4,4
46605,0,46,1,1,3,4
37294,0,66,1,1,5,4
29058,0,72,1,1,5,4
47784,0,42,1,1,2,4
54911,0,45,1,1,3,4
37654,0,56,1,1,2,4
114027,0,74,1,1,2,4
20096,0,80,2,1,1,4
27694,0,74,1,1,3,4
5183,0,83,1,1,4,4
109310,0,61,1,1,7,4
33489,0,40,1,1,2,4
45567,0,69,1,1,3,4
41174,0,55,1,1,2,4
11614,0,70,1,1,6,4
50564,0,67,2,1,5,4
110672,0,87,2,1,4,4
32281,0,64,1,1,1,4
71993,0,50,1,1,4,4
37076,0,73,2,1,5,4
21072,0,66,1,1,9,4
19387,0,64,1,1,2,4
62209,0,26,1,1,0,4
112358,0,54,1,1,3,4
108817,0,76,1,1,0,4
48156,0,75,1,1,3,4
71988,0,74,1,1,5,4
36397,0,69,1,1,3,4
57541,0,38,2,1,2,4
116003,0,62,1,1,3,4
105090,0,40,1,1,0,4
78027,0,75,2,1,6,4
36142,0,76,1,1,6,4
99444,0,55,1,1,4,4
64364,0,70,2,1,3,4
34926,0,58,2,1,3,4
33817,0,67,1,1,1,4
101817,0,72,1,1,3,4
106437,0,50,1,1,3,4
30988,0,79,1,1,2,4
2236,0,51,2,1,4,4
20334,0,62,1,1,8,4
62681,0,63,1,1,6,4
20293,0,59,1,1,3,4
39931,0,29,1,1,2,4
1924,0,62,1,1,4,4
29306,0,36,2,1,4,4
28580,0,83,1,1,8,4
56212,0,54,1,1,2,4
111796,0,63,1,1,5,4
102822,0,66,1,1,5,4
19505,0,38,1,1,6,4
10633,0,64,1,1,5,4
100213,0,78,1,1,0,4
28874,0,68,2,1,8,4
29686,0,41,1,1,4,4
44652,0,80,1,1,4,4
39933,0,49,1,1,6,4
36631,0,70,2,1,7,4
115897,0,74,1,1,3,4
54554,0,36,1,1,4,4
100177,0,78,2,1,3,4
29624,0,61,2,1,7,4
17405,0,56,2,1,6,4
114793,0,45,2,1,4,4
58738,0,42,2,1,3,4
71094,0,31,1,1,2,4
20781,0,48,1,1,2,4
27848,0,81,1,1,0,4
11601,0,43,1,1,0,4
29080,0,74,1,1,6,4
30216,0,40,2,1,5,4
33826,0,59,1,1,7,4
35759,0,51,2,1,0,4
71414,0,57,3,1,3,4
33713,0,83,1,1,1,4
64694,0,61,1,1,1,4
107029,0,41,1,1,2,4
99441,0,72,1,1,4,4
73409,0,81,2,1,7,4
72020,0,89,3,1,4,4
24790,0,89,1,1,5,4
49555,0,73,1,1,5,4
16368,0,57,1,1,8,4
117291,0,56,1,1,6,4
26367,0,72,1,1,3,4
99342,0,71,1,1,0,4
118528,0,49,1,1,3,4
71965,0,76,1,1,3,4
110809,0,84,1,1,4,4
18777,0,40,1,1,3,4
47446,0,77,1,1,1,4
7034,0,51,1,1,3,4
40875,0,55,2,1,3,4
108833,0,63,1,1,6,4
7486,0,72,1,1,8,4
13757,0,73,1,1,5,4
11910,0,48,3,1,5,4
7897,0,55,1,1,4,4
43929,0,63,1,1,3,4
20287,0,38,1,1,1,4
35535,0,39,1,1,0,4
106961,0,76,2,1,5,4
110343,0,68,2,1,5,4
23720,0,82,1,1,0,4
114081,0,57,1,1,5,4
113431,0,70,1,1,2,4
35738,0,68,1,1,5,4
13657,0,71,1,1,4,4
39081,0,48,1,1,1,4
40246,0,69,1,1,4,4
107232,0,53,2,1,5,4
72262,0,90,1,1,4,4
12255,0,69,1,1,0,4
23573,0,73,1,1,7,4
100882,0,80,2,1,0,4
35536,0,75,1,1,6,4
18268,0,88,2,1,2,4
78284,0,86,3,1,4,4
10899,0,69,1,1,4,4
19779,0,63,1,1,5,4
41728,0,66,3,1,3,4
39927,0,61,1,1,4,4
32903,0,69,2,1,6,4
35249,0,56,2,1,4,4
49962,0,55,3,1,2,4
44433,0,71,1,1,3,4
63175,0,56,1,1,5,4
52874,0,35,1,1,2,4
16681,0,61,1,1,2,4
36078,0,68,1,1,3,4
20607,0,71,2,1,2,4
