id,age68,spouses.polygynoushave2wivesbyfiat,wtkgs,Rsalive
1,63,1,47.8256065,2
5,41,1,53.0419145,0
7,35,1,62.992589,0
9,27,1,55.4799715,0
11,54,1,54.487739,0
13,66,2,41.220173,3
18,44,1,42.3258035,4
23,39,1,48.987936,4
27,56,1,35.493574,7
33,29,1,40.312989,1
34,30,1,55.111428,3
42,24,1,47.8823055,1
53,55,1,41.2485225,6
55,20,0,42.4,1
72,50,1,45.8978405,2
74,31,1,52.219779,1
77,28,0,52.843468,0
84,35,1,55.9335635,3
88,42,2,57.492786,3
95,33,1,63.9848215,2
98,30,1,47.173568,2
101,51,1,57.549485,4
106,29,1,43.204638,0
107,38,1,50.2636635,1
111,45,1,50.689,0
116,31,1,47.62716,1
117,46,1,58.116475,4
123,41,1,48.5626935,2
128,34,1,55.9335635,3
133,31,1,47.8823055,1
134,44,1,47.230267,1
139,38,1,57.0675435,1
140,43,1,42.977842,3
152,51,1,45.019006,1
154,29,1,54.8562825,1
156,41,1,53.523856,1
158,62,1,52.1914295,1
164,39,1,46.039588,2
169,42,1,56.018612,3
179,43,1,50.235314,0
181,43,1,49.101334,0
192,62,1,47.9390045,9
204,33,1,44.565414,3
230,29,1,49.044635,1
233,26,1,54.090846,0
234,45,1,55.3665735,2
239,26,1,49.6966735,1
252,50,1,56.755699,1
258,34,1,56.9541455,0
261,63,1,50.178615,5
273,41,1,45.642695,0
283,44,1,53.637254,4
292,55,1,45.699394,4
309,42,1,50.178615,3
312,41,1,54.6,5
318,28,1,45.2174525,2
324,31,1,48.420946,1
345,55,1,43.204638,1
348,31,1,45.4442485,3
353,40,1,51.085799,0
355,57,0,47.910655,1
357,32,1,47.7122085,1
359,75,1,41.163474,3
367,35,1,47.4854125,2
374,41,1,50.4337605,3
375,46,1,55.281525,4
383,54,1,44.4,0
385,68,1,44.622113,0
394,41,1,53.183662,1
395,73,1,37.081146,4
412,71,1,39.7176495,3
414,50,1,50.915702,3
419,41,1,58.8252125,3
423,57,2,50.688906,5
461,63,1,43.147939,4
467,35,0,47.853956,3
521,38,1,56.4438545,1
526,48,1,55.791816,1
618,54,1,47.4854125,1
620,24,1,47.003471,1
666,41,1,62.879191,6
