personid,age,num_wives,cattle,farming_land,rs
136,24,0,4,0,0
328,24,1,5,2.02343,0
316,24,0,10,4.04686,0
332,24,1,20,2.02343,0
314,25,0,3,0,0
134,25,1,5,12.14058,0
147,25,1,10,4.04686,0
353,25,1,10,4.04686,1
135,27,1,15,4.04686,0
354,28,0,10,2.428116,0
341,28,1,80,0,2
325,28,2,200,0,0
128,29,1,20,0,3
116,30,0,4,0,0
149,30,1,5,0,1
216,32,2,5,20.2343,6
317,32,1,5,4.04686,1
220,32,1,10,20.2343,1
218,34,1,30,1.214058,0
242,35,0,2,0.809372,0
214,35,4,70,40.4686,7
301,35,2,200,14,5
142,36,0,5,0,2
151,36,2,15,28.32802,8
125,36,1,23,0,1
146,36,1,100,12.14058,2
339,37,1,5,0,3
111,37,1,30,2.02343,2
337,38,1,7,3.237488,2
228,39,1,17,0,3
241,39,2,50,10.11715,5
334,39,3,500,80.9372,8
240,40,2,45,10.11715,10
302,40,2,57,0,10
230,40,4,120,0,17
310,42,4,100,6.07029,15
307,42,4,150,4.04686,11
351,43,1,13,4.04686,5
336,44,1,6,0,3
150,45,4,200,40.4686,9
300,45,4,1200,30,20
315,47,1,2,4.04686,5
313,47,2,50,2.02343,6
321,49,1,10,1.618744,8
115,53,1,10,3.237488,6
243,56,3,4,0.809372,13
225,59,2,20,0,8
235,60,2,70,40.4686,12
130,60,3,80,5.260918,20
239,60,6,450,20.2343,35
322,63,2,2,2.02343,5
131,70,2,6,10.521836,8
238,70,2,37,20.2343,14
236,70,4,100,0,54
143,70,8,200,121.4058,51
331,72,1,12,2.428116,9
110,78,1,10,4.04686,5
