id,age,timesmarried,bro_living,farmed_land,livestock_cattle_total,rs
0,65,3,2,6,50,14
1,42,2,5,8,12,3
1.200000048,47,2,4,7,15,12
2,65,3,1,8,39,19
3,66,4,1,14.25,145,20
5,33,0,4,4,16,0
6,35,1,3,8,60,4
7,49,1,4,4,8,3
8,32,1,6,11,40,1
9,74,3,1,140,550,32
10,48,2,4,25,19,7
12,31,1,1,7,6,0
13,48,3,6,15,107,16
14,51,2,5,4,149,15
15,33,1,5,6,7,1
16,60,5,10,7,38,23
17,58,3,2,24,20,21
18,45,3,8,29,580,13
19,45,2,4,2,10,4
20,41,2,3,5,45,7
21,72,4,1,2,32,8
22,77,3,4,3,14,13
23,55,1,2,4,24,4
24,39,1,4,0,50,5
37,40,2,2,6,38,10
38,41,2,1,5,0,7
39,45,2,3,10,40,9
40,49,3,3,10,49,10
44,45,4,4,30,1055,20
45,67,4,3,22,120,27
46,57,3,2,28,200,4
47,70,6,4,15,900,32
48,52,3,2,80,150,14
49,25,1,5,10,20,4
53,80,6,4,70,130,29
54,83,4,2,9,100,26
55,35,4,4,20,447,8
56,35,1,2,5,26,2
57,68,2,3,4,18,9
58,49,3,1,15,73,20
59,70,3,1,8,40,6
60,65,5,4,15,620,29
66,48,2,2,17,220,6
67,74,2,0,24,20,5
73,60,3,6,9,35,22
74,25,0,3,10,28,0
75,50,3,3,8,15,14
76,32,2,1,8,14,2
82,55,6,4,60,450,13
83,60,8,2,19,900,26
84,45,3,5,40,670,13
86,56,4,2,30,120,22
87,38,1,3,15,64,6
88,50,4,4,14,40,20
89,57,7,5,20,500,26
90,45,3,8,20,300,11
91,65,4,4,15,920,17
92,58,4,3,15,1150,18
93,45,2,2,8,76,5
94,36,1,4,2,7,2
95,65,4,4,15,450,24
102,65,6,0,135,670,29
103,65,5,1,11,100,24
104,65,2,3,4,54,3
106,55,1,2,20,52,3
107,49,2,2,12,15,11
108,41,1,4,10,30,5
109,38,1,4,3,13,2
110,39,3,3,15.5,45,16
111,41,2,4,10,30,11
113,78,2,2,10,14,9
114,38,2,3,15,120,6
115,30,2,1,4,27,3
116,67,3,3,4,187,13
117,71,3,0,1.450000048,11,20
118,65,1,5,3.549999952,2,6
124,57,3,2,6,260,13
126,48,4,4,7,245,19
127,63,4,4,8,3150,17
130,43,1,3,14,10,5
131,37,2,3,10,70,7
134,25,1,3,0,70,0
135,39,3,2,20,228,5
136,26,1,4,11,11,1
137,24,1,4,80,53,0
138,26,1,2,2,17,0
139,57,5,4,30,430,23
140,33,1,1,8,25,1
141,44,2,2,9,10,4
142,28,1,4,5,4,2
143,35,2,3,4,19,8
144,42,3,0,10,25,15
145,70,2,2,10,30,11
146,38,2,3,3,20,5
147,21,0,2,8,19,0
148,20,1,3,2,240,0
150,30,1,10,20,130,1
151,22,1,5,4,1300,2
152,37,1,4,2,40,4
161,41,2,6,6,230,10
162,45,2,3,5,10,7
163,40,2,5,6,11,3
164,50,2,4,7,170,5
165,30,1,5,0,0,2
166,40,4,3,9,500,9
167,54,4,2,6,0,9
168,45,4,1,10,407,17
169,57,4,2,12,200,15
170,75,2,2,86.13999939,50,12
171,42,5,7,0,569,16
172,36,4,1,10,117,7
173,60,3,2,20,135,12
174,65,3,2,5,12,9
175,38,1,4,120,1700,1
176,24,1,4,10,30,1
177,50,3,1,0,110,19
184,35,2,6,11,25,6
185,40,4,6,7,142,11
186,48,1,1,1.25,4,4
187,40,1,8,0,0,5
188,35,2,5,3,167,6
190,47,2,6,4,100,10
193,38,1,6,20,240,4
208,42,4,3,300,140,23
244,50,2,2,4,50,9
245,47,2,2,3,7,10
701,65,4,2,8,2,13
702,75,4,0,8,36,19
703,60,4,6,9,35,22
704,33,2,2,10,50,4
705,60,4,1,16,168,20
706,40,1,5,4,38,4
707,60,2,3,7,27,10
