INTERVIEW_NUMBER,AGE,RS,BabyMommas,MONTLY_INCOME,FARMLAND
14,24,0,0,0,0
13,22,1,1,0,0.5
7,45,9,1,1000,4
20,40,6,1,2500,1
2,37,3,2,2500,5
11,24,1,1,3000,2
4,32,6,1,4000,3
3,40,10,2,5000,3
5,28,4,1,5000,1
13,26,0,0,5000,0.5
10,38,4,1,5000,3
17,45,7,1,5000,2
5,30,9,1,5000,2.5
7,42,5,1,5000,2
8,29,2,1,5000,1.5
10,36,1,1,5000,3
11,40,9,1,5000,2
15,45,2,1,5500,3
4,28,1,1,6000,2
9,29,4,1,6000,1.75
13,18,0,0,6500,1
12,23,0,0,7000,1
12,37,5,1,7500,4
13,40,4,1,7500,1
7,25,3,1,7500,1
1,24,1,1,7500,2
10,37,0,0,7500,4
12,39,10,1,7500,2
6,27,3,1,8000,1
14,30,4,1,8000,0.5
12,44,7,1,8000,3.5
7,29,2,1,8000,1
1,31,2,1,10000,1
7,34,3,1,10000,4
17,24,0,0,10000,1
5,20,0,0,10000,0
6,29,3,1,10000,1.5
16,25,1,1,10000,0.75
2,22,0,0,10000,0
4,20,3,1,10000,0.5
5,42,9,1,10000,1.5
15,33,1,1,10000,1
16,28,0,0,10000,1
6,44,10,1,10000,2
9,21,0,0,10000,1
15,26,3,1,10000,2
12,18,1,1,12000,0.5
1,31,2,1,12000,5
4,19,0,0,12000,0.5
5,27,3,1,12500,1
7,18,0,0,14000,0.5
1,24,0,0,15000,0
5,30,0,0,15000,0
10,21,0,0,15000,2
17,24,1,1,15000,1
10,33,8,2,15000,3
11,43,6,2,15000,1.5
17,32,0,0,15000,1
5,37,7,1,15000,1
4,30,6,1,15000,1
11,23,1,1,15000,2
2,34,5,1,15000,0
10,32,4,1,17000,0.5
29,31,1,1,17500,0
7,23,0,0,20000,0
16,36,6,2,20000,2
16,28,1,1,20000,1
8,34,3,1,20000,1
15,32,0,0,20000,0
18,40,3,1,20000,2
6,28,4,1,20000,1
15,33,1,1,20000,1
6,45,8,1,20000,1
1,36,0,0,20000,0
14,19,0,0,20000,0
27,38,6,1,22500,3.5
14,42,8,1,24000,4
9,18,0,0,25000,0
16,32,0,0,25000,0
10,35,7,2,25000,1
11,28,1,1,25000,2.5
13,21,0,0,25000,0
3,21,1,1,25000,2
1,27,0,0,25000,0.5
14,31,2,1,25000,0.5
13,22,1,1,25000,1
12,45,5,1,26000,5.5
8,43,5,1,30000,1
11,28,0,0,30000,0.25
5,25,1,1,30000,0
9,29,4,1,30000,2
14,18,0,0,30000,0.5
4,21,0,0,31000,0
13,20,0,0,32000,0
19,41,6,1,32000,1
12,36,2,1,32500,0
26,29,4,1,32500,0
19,40,6,1,33000,0.5
10,31,2,1,33000,0.25
9,27,3,1,33000,0.5
28,35,4,1,35000,0
15,18,0,0,35000,0
9,20,1,1,35000,0.5
3,38,7,2,35000,2
8,28,1,1,40000,0
14,29,1,1,40000,0
2,30,4,2,40000,2
2,39,5,1,40000,0.5
8,26,2,1,40000,0.75
3,32,3,1,40000,0.5
6,27,2,1,40000,0.5
14,20,0,0,40000,1
11,29,2,1,42000,5
11,28,0,0,42000,0
2,35,0,0,42000,3
2,29,1,1,45000,1.5
3,38,5,2,50000,1.5
18,34,2,1,50000,0
20,31,2,1,50000,0
24,38,1,1,50000,0
25,21,0,0,50000,0
9,43,10,1,50000,0
3,35,4,1,50000,0.5
4,34,1,1,52000,4
2,43,5,2,60000,0
19,37,3,1,60000,0
21,20,0,0,60000,0
22,26,1,1,60000,2
1,21,0,0,60000,0
6,23,1,1,60000,1
18,28,3,1,60000,0.5
9,27,0,0,60000,2
1,24,1,1,60000,0.5
12,21,1,1,60000,1
8,24,0,0,60000,3
13,18,0,0,60000,0
7,26,1,1,65000,1
15,39,12,2,65000,1
18,37,10,8,66000,8
17,25,0,0,80000,0
6,41,4,1,100000,0
15,44,9,2,100000,5
3,24,1,1,100000,0
23,25,0,0,132000,0
8,31,4,1,140000,3
