ID,Age,BabyMommas,RS,Boat,ComputerTV
61,17,1,1,0,0
73,17,1,0,0,0
245,19,0,0,0,0
244,22,2,1,0,0
19,23,1,3,1,0
165,24,1,3,0,0
108,25,2,7,0,0
109,25,2,3,0,0
146,25,1,2,0,0
52,27,1,1,0,0
123,27,2,3,0,1
78,29,1,4,0,0
45,30,1,8,0,0
55,30,1,0,1,0
67,30,2,6,0,0
119,34,1,0,0,0
38,35,1,7,0,0
56,36,3,14,0,0
4,37,2,4,1,0
29,38,1,8,1,0
161,38,3,5,1,1
72,40,1,6,0,0
121,40,3,11,0,0
148,40,1,2,0,0
1,44,1,8,0,0
16,45,2,8,0,0
137,45,2,8,0,0
141,45,2,4,0,0
105,47,1,3,0,0
83,48,2,9,1,1
153,57,1,8,1,1
94,64,2,3,0,0
26,65,2,6,0,0
115,65,2,2,0,0
117,70,2,5,0,0
101,78,2,4,0,0
134,80,2,4,0,0
