recordnumber,age,nwives,rs,household wealth (rival)
515,37,3,3,3012
145,23,1,2,4900
110,32,1,6,5045
406,26,4,7,6300
306,33,3,5,7379
47,23,1,1,7986
496,78,3,12,8312
609,60,2,3,9500
455,31,1,2,10105
585,35,2,7,11456
623,28,2,6,12540
632,34,1,2,13025
52,26,1,4,14420
100,73,1,8,16473
13,26,1,4,17122
241,48,2,16,17186
49,45,2,7,18203
481,21,1,1,18245
349,43,3,7,18418
66,35,1,4,19701
467,39,3,7,21576
268,40,2,9,24648
501,26,1,4,25694
548,36,4,9,26740
1,35,1,7,27162
362,48,1,7,31446
86,33,1,8,32159
121,50,2,8,32303
142,54,2,9,33281
398,28,2,3,37261
593,53,1,8,38403
476,51,2,12,39436
158,53,1,9,40253
299,59,4,10,55279
190,64,2,0,56628
339,48,2,8,56684
423,36,2,4,60806
180,40,4,4,65041
324,65,2,4,73950
451,38,2,6,80466
216,37,2,9,84606
25,38,2,8,85125
228,39,1,8,111881
387,33,1,5,165206
330,34,2,7,234057
414,48,6,9,384083
35,46,2,10,525931
