ID,Age,Wives,MeanLivestock,MeanLandHect,soff5
101,62.6667,1,1583.462,4.5,8
301,49.6667,1,282.58,2.5,10
401,56.6667,1,240.506,2,6
501,70.9861,3,1147.012,6.7,8
601,53.6667,1,1103.448,4.6,7
701,50.6667,1,1199.51,2.2,7
901,36.3472,1,690.77,5,3
"1,001",53.6667,1,33.232,2.6,11
"1,101",66.8583,2,75.892,3.1,9
"1,301",65.6667,1,652.186,2,7
"1,401",45.25,3,146.0625,2.75,3
"1,501",52.2389,1,531.832,3.4,7
"1,601",42.6667,1,29.428,4.6,8
"1,701",40.7472,1,30.705,3.625,5
"1,801",52.8083,1,48.372,3.86,9
"1,901",57.1972,2,10.922,2.4,10
"2,001",38.5778,1,335.38,3,6
"2,101",60.1778,2,292.586,1.9,3
"2,106",28.0917,1,8.87,1.5,2
"2,301",41.875,2,0,2,3
"2,401",71.4167,1,0.968,3.6,8
"2,407",35.4056,1,0,0.5,1
"2,601",59.67,1,396.798,2.9,5
"2,701",47.3444,1,434.614,1.8,6
"2,801",76.6667,1,703.802,9.3,8
"2,901",47.6667,1,41.062,2.4,7
"3,102",40.2944,1,0,1,1
"3,201",64.6667,1,595.63,3.3,6
"3,205",34.6667,2,868.71,1.75,3
"3,301",43.4167,1,408.364,1.5,11
"3,401",97.6667,1,8.502,2.2,4
"3,501",46.6667,1,215.826,2.05,7
"3,601",33,2,0,0,1
"3,801",88.6667,2,773.662,2.15,6
"3,901",35.7583,3,396.996,1.96,10
"4,001",42.5028,3,33.538,1.06,7
"4,101",43.6667,3,259.602,2,13
"4,201",53.6667,1,4.102,1.9,7
"4,301",68.3139,1,920.524,3.5,7
"4,306",31.675,1,31.05,2.5,2
"4,401",66.6667,2,1040.134,4.5,9
"4,601",38.3167,1,888.6266667,2.666666667,6
"4,701",79,1,529.23,4,9
"4,801",74.0389,1,0,0.5,9
"4,901",56.6667,4,78.518,3.1,7
"5,201",71,2,30.77,2,6
"5,203",33.6667,4,0,0.5,3
"5,301",49.2611,1,61.944,2.5,6
"5,601",70.6667,1,416.88,3.6,6
"5,607",35.6667,2,11.09,3,2
"5,701",62.3528,1,401.246,4.75,5
"5,801",63.6667,1,443.112,3.8,5
"5,901",57.6667,1,142.67,4.4,7
"6,001",44.4556,1,853.944,2.7,7
"6,101",42.6667,1,0,2,5
"6,201",48.6667,1,18.846,2.2,11
"6,301",58,1,0,4,9
"6,401",41.0694,2,370.37,2.625,5
"6,501",42.2861,3,15.014,1.6,5
"6,601",41.1528,1,23.59,1.5,4
"6,701",50.6667,1,319.1,2.5,6
"6,801",47.6667,2,1535.824,4,8
"6,901",79.2667,1,436.058,2.6,7
"7,001",62.4083,1,0,4,5
"7,101",65.5833,1,327.04,3.875,8
"7,103",38.8583,1,105.14,2.75,2
"7,201",46,2,103.845,2,9
"7,501",52.075,1,18.92,4.7,9
"7,516",49.6667,1,0,1.25,3
"7,601",37.5389,3,790.77,2.5,3
"7,801",52.0417,2,30.77,0.5,4
"7,901",56.6667,1,206.56,3,5
"8,101",36.1667,1,417.4266667,2.333333333,1
"8,201",49.6667,1,0,1.6,8
