resId,age,noChildren,noSurvived15,totalLand,arableLand,landClass,cows,bulls,sheep,pigs,horses,otherLivestock,Nwives
28,60,5,5,0,0,0,2,0,1,0,4,0,1
97,66,5,5,0,0,0,0,0,0,0,0,0,1
192,70,4,4,0,0,5-6,0,0,0,0,0,0,1
39,73,5,5,0,0,0,0,0,0,0,0,0,1
802,79,5,5,0,0,0,0,0,0,0,1,2,1
1813,61,10,10,0.09,0,5-6,2,0,0,2,0,0,1
904,53,3,3,0.22,0,0,0,0,0,0,0,0,1
638,61,7,7,0.27,0,5,0,0,0,0,0,0,1
1373,77,5,5,0.3,0,0,2,0,15,0,1,0,1
407,61,5,5,0.32,0,4-5,0,0,0,0,0,0,1
273,62,3,3,0.32,0.1,4,0,0,0,0,0,0,1
625,61,2,2,0.34,0.1,4-5,0,0,0,0,0,0,1
404,71,4,4,0.34,0.34,4-5,0,0,0,0,0,0,1
283,74,5,3,0.4,0.26,5,0,0,0,0,0,0,1
579,65,4,4,0.47,0.39,6,0,0,0,0,0,0,1
309,70,3,3,0.55,0.5,4-5,0,0,0,0,0,0,1
1706,68,5,5,0.57,0.57,2-3,0,0,0,0,0,0,1
903,73,9,9,0.6,0.3,4,0,0,0,0,0,0,1
813,61,4,4,0.68,0.68,4-5,0,0,0,0,0,0,1
1802,80,4,4,0.72,0.72,5,1,0,0,0,0,0,1
282,58,7,6,0.8,0.4,4,0,0,0,0,0,0,1
380,80,2,2,0.8,0,4-5,0,0,0,0,0,0,1
247,79,5,5,0.82,0.5,4,1,0,0,0,0,0,1
387,61,7,7,0.86,0.5,5,1,0,0,0,0,0,1
327,65,6,6,0.86,0.7,4,0,0,0,0,0,5,1
1716,75,7,7,0.9,0,0,0,0,0,0,0,0,1
468,74,4,2,0.93,0.05,4-5,0,0,0,0,0,0,1
609,60,4,4,0.97,0.97,4,0,0,0,0,0,0,1
748,53,2,2,1,0,5,0,0,0,0,0,0,1
933,53,7,7,1,0,5,1,0,0,0,1,0,1
1685,60,3,3,1,0.5,4-5,0,0,0,0,0,0,1
875,60,3,3,1,0.2,4,1,0,0,0,0,0,1
437,61,3,3,1,0,4,1,0,0,0,0,0,1
566,63,5,5,1,1,4,2,0,0,2,0,0,1
10,67,2,2,1,0,0,1,0,0,0,0,0,1
1145,68,4,4,1,0,4-5,1,1,0,0,0,0,1
1701,70,5,5,1,0,5-6,2,0,0,0,0,0,1
68,71,3,3,1,0,0,0,0,0,0,0,0,1
816,77,4,4,1,0,4-5,0,0,0,0,0,0,1
353,72,3,3,1.05,0.25,4,0,0,0,0,0,0,1
935,66,4,4,1.06,0.2,6,2,0,0,0,0,0,1
777,71,4,4,1.08,0.5,4-5,2,0,0,3,1,0,1
900,42,5,5,1.09,0,0,1,0,0,0,0,0,1
804,66,5,4,1.18,0.38,6,0,1,0,0,0,0,1
1497,81,6,6,1.2,0.3,5-6,1,0,0,0,0,0,1
254,60,4,4,1.3,0.59,6,0,0,0,0,0,0,1
812,72,10,10,1.3,0,4-5,0,0,0,0,0,0,1
