ID,Age,Wives,rs,AcresCorn,AcresRice,Cattle
198,21,0,0,1,2,0
201,20,1,0,2.5,3,0
211,42,1,0,2,1,0
212,24,0,0,0.5,2,0
213,23,1,0,1,1,0
10,51,1,0,5,4,0
202,28,0,1,1,1,0
3,30,1,1,0,0,0
28,25,1,1,2,2,4
171,45,1,1,1,0,50
108,33,1,2,2,2,0
1,62,1,2,3,8,0
5,39,2,2,0,8,0
11,28,1,2,1,1,0
33,28,1,2,2,0,0
34,24,1,2,2,4,20
37,26,1,2,1,4,0
38,29,1,2,1,2,0
77,26,1,2,4,2,4
79,32,1,2,1,2,0
196,39,1,3,3,1,0
199,36,1,3,2,2,0
32,24,1,3,1,3,0
44,23,1,3,1,2,100
46,20,2,3,20,20,30
194,48,2,4,2,2,0
7,39,2,4,2,5,4
43,27,1,4,4,2,0
192,70,1,4,2,2,100
188,35,1,4,1,0,0
207,34,1,5,1.5,1,0
42,45,1,5,3,2,15
45,32,1,5,2,4,18
195,65,2,6,1,1,0
203,40,1,6,3,2,0
210,70,1,6,2,2,0
72,38,2,6,6,7,40
76,32,2,6,10,0,20
166,36,2,6,11,1.5,50
178,34,3,6,4,1,3
39,62,1,7,4,10,0
41,63,1,7,2,2,10
47,45,2,7,4,3,0
65,51,2,7,8,14,8
20,76,0,8,1,0,0
187,36,2,8,3,8,0
40,52,1,9,4,5,20
74,37,2,9,9,0,6
75,40,2,9,12,0,40
167,40,3,10,12,0,60
190,46,2,10,8,0,100
189,29,3,10,5,0,900
67,60,1,11,4,5,37
181,70,3,11,1,1,150
168,60,2,12,51,0,3000
8,52,4,14,6,14,20
185,44,2,14,9,0,50
174,48,4,22,22,4,250
176,68,5,28,21,0,340
